d_angstrom,exact_electronic,e_nuc,exact_total,hardware_efficient,hardware_efficient_circuits,real_pair,real_pair_circuits,ucc_single,ucc_single_circuits,product,product_circuits
0.3,-2.3657277452546803,1.7639240363433333,-0.601803708911347,-2.3657277450031367,561,-2.3657277452546808,35,-2.3657277452546794,15,-2.357751792944998,5
0.4,-2.23709273077341,1.3229430272574998,-0.9141497035159101,-2.237092730745542,510,-2.2370927307734094,35,-2.2370927307734085,15,-2.2273044202322447,5
0.5,-2.113514215700264,1.058354421806,-1.0551597938942643,-2.113514215699949,459,-2.113514215700265,35,-2.1135142157002638,15,-2.101350695695345,5
0.6,-1.9982480248608354,0.8819620181716666,-1.1162860066891689,-1.998248024847762,425,-1.9982480248608354,35,-1.998248024860835,15,-1.9830902601898495,5
0.7,-1.8921568983349657,0.7559674441471428,-1.1361894541878228,-1.892156898238098,442,-1.8921568983349657,35,-1.8921568983349646,15,-1.8733164791958434,5
0.735,-1.8572750303881032,0.7199689944258503,-1.1373060359622529,-1.8572750302499734,510,-1.857275030388103,35,-1.8572750303881018,15,-1.8369679913267292,5
0.8,-1.7956191806529311,0.6614715136287499,-1.1341476670241812,-1.7956191497957883,500,-1.7956191806529311,35,-1.7956191806529307,15,-1.7723219113917805,5
0.9,-1.708534960593068,0.5879746787811111,-1.1205602818119569,-1.7085349602564484,476,-1.7085349605930678,40,-1.708534960593067,15,-1.6798887202489765,5
1.0,-1.6303275417765606,0.529177210903,-1.1011503308735606,-1.6303275417449463,425,-1.6303275417765604,35,-1.63032754177656,18,-1.5952858607853304,5
1.1,-1.5602631374541818,0.48107019172999993,-1.0791929457241818,-1.560263137417803,391,-1.5602631374541822,40,-1.560263137454181,15,-1.5176090674149987,5
1.2,-1.4977217562554517,0.4409810090858333,-1.0567407471696184,-1.4977217562225886,408,-1.497721756255452,40,-1.4977217562554515,15,-1.4460877163851555,5
1.3,-1.442245660405086,0.40705939300230765,-1.0351862674027783,-1.4422456595211601,442,-1.4422456604050864,40,-1.442245660405086,18,-1.3801700095677558,5
1.5,-1.3509341618869746,0.3527848072686666,-0.998149354618308,-1.350934161884552,527,-1.350934161886975,45,-1.3509341618869746,18,-1.263658362690559,5
1.7,-1.2827074020350784,0.31128071229588233,-0.9714266897391961,-1.282707386408368,544,-1.2827074020350786,45,-1.2827074020350782,15,-1.1656183400110578,5
2.0,-1.2132297190618764,0.2645886054515,-0.9486411136103764,-1.213229389937471,629,-1.213229719061877,45,-1.2132297190618764,15,-1.0483812603111144,5
2.25,-1.1751715782474514,0.23518987151244442,-0.939981706735007,-1.1751709873004497,561,-1.1751715782474514,40,-1.175171578247451,18,-0.9733586992365897,5
2.5,-1.1477258059238895,0.2116708843612,-0.9360549215626895,-1.1477256896678094,731,-1.1477258059238897,40,-1.1477258059238893,18,-0.9146144845654853,5
