d_angstrom,lambda_1,lambda_2,entanglement_entropy_bits
0.3,0.9987723835708991,0.049535096811300895,0.02481142236504758
0.4,0.9982346896789055,0.0593927968836223,0.03381918546597049
0.5,0.9974159762931392,0.07184267697687918,0.04664328031282617
0.6,0.9962154296271778,0.08691845473049777,0.06410730480828392
0.7,0.9945064632022212,0.10467518640541802,0.08707202579629693
0.735,0.993760400806271,0.11153593945163846,0.09656784584863386
0.8,0.9921324102367576,0.12519297327646678,0.11640355250202336
0.9,0.9888902610032135,0.14864740728649228,0.15305283148682708
1.0,0.9845135955900566,0.1753082430986598,0.19805450256345306
1.1,0.9786753789391609,0.2054130050855839,0.2522649787262054
1.2,0.9710223303305399,0.23898877379376637,0.3158870219335095
1.3,0.9612393998096221,0.2757150997925891,0.3879934861552978
1.5,0.9347130548004264,0.3554032993454834,0.5472349935551608
1.7,0.9002218747613218,0.4354314827859962,0.7006351480749327
2.0,0.8437467823790862,0.536741434235274,0.8662429601264323
2.25,0.8025761208070309,0.5965497215742692,0.9392028308880469
2.5,0.7709868580798535,0.6368510537544522,0.9741208383603628
