rounds,p,p_meas,shots,not_restored,rate_not_restored,logical_only,rate_logical_only
1,0.0001,0.0001,4000000,2391,0.00059775,1,2.5e-07
1,0.0002070627283873902,0.0002070627283873902,2332362,2822,0.0012099322489390583,2,8.57499822068787e-07
1,0.00042874973487230165,0.00042874973487230165,543991,1397,0.0025680571921226636,2,3.6765314132035274e-06
1,0.0008877808989802904,0.0008877808989802904,126878,670,0.005280663314364981,2,1.5763174072731284e-05
1,0.0018382633515306897,0.0018382633515306897,29592,318,0.010746147607461476,0,0.0
1,0.0038063582506249276,0.0038063582506249276,10000,230,0.023,3,0.0003
1,0.007881549245942518,0.007881549245942518,10000,469,0.0469,10,0.001
1,0.016319750907844374,0.016319750907844374,10000,960,0.096,35,0.0035
1,0.03379212149580844,0.03379212149580844,10000,2048,0.2048,174,0.0174
1,0.06997088874920272,0.06997088874920272,10000,3980,0.398,532,0.0532
1,0.14488363132100474,0.14488363132100474,10000,6900,0.69,1390,0.139
1,0.29999999999999993,0.29999999999999993,10000,9446,0.9446,2067,0.2067
3,0.0001,0.0001,3000000,0,0.0,0,0.0
3,0.0002070627283873902,0.0002070627283873902,699708,1,1.4291675956256038e-06,1,1.4291675956256038e-06
3,0.00042874973487230165,0.00042874973487230165,163197,3,1.8382690858287835e-05,1,6.127563619429279e-06
3,0.0008877808989802904,0.0008877808989802904,38063,1,2.6272232877072222e-05,0,0.0
3,0.0018382633515306897,0.0018382633515306897,10000,2,0.0002,2,0.0002
3,0.0038063582506249276,0.0038063582506249276,10000,8,0.0008,5,0.0005
3,0.007881549245942518,0.007881549245942518,10000,17,0.0017,10,0.001
3,0.016319750907844374,0.016319750907844374,10000,86,0.0086,41,0.0041
3,0.03379212149580844,0.03379212149580844,10000,348,0.0348,129,0.0129
3,0.06997088874920272,0.06997088874920272,10000,1411,0.1411,634,0.0634
3,0.14488363132100474,0.14488363132100474,10000,4403,0.4403,1764,0.1764
3,0.29999999999999993,0.29999999999999993,10000,8902,0.8902,2793,0.2793
