p,shots,failures,p_logical,stderr
0.0001,3045685,1,3.2833336343055833e-07,3.2833336343055833e-07
0.0002070627283873902,710364,2,2.815457990551323e-06,1.990826634714395e-06
0.00042874973487230165,165682,1,6.035658671430813e-06,6.035658671430813e-06
0.0008877808989802904,38643,0,0.0,2.5877908029914863e-05
0.0018382633515306897,10000,0,0.0,0.0001
0.0038063582506249276,10000,3,0.0003,0.00017317909804592468
0.007881549245942518,10000,11,0.0011,0.00033148001448051134
0.016319750907844374,10000,36,0.0036,0.0005989190262464534
0.03379212149580844,10000,183,0.0183,0.001340339882268673
0.06997088874920272,10000,639,0.0639,0.002445747125113306
0.14488363132100474,10000,2045,0.2045,0.004033357782295044
0.29999999999999993,10000,5105,0.5105,0.004998897378422565
